"","shname","gid","stid","discname","discid","semnum","sum"
"173","ИС-Б11",222,3851,"Физическая культура",3,2,91
"174","ИС-Б11",222,3851,"Физическая культура",3,3,88
"175","ИС-Б11",222,3851,"Информатика",6,2,78
"176","ИС-Б11",222,3851,"Математический анализ",12,2,75
"177","ИС-Б11",222,3851,"Математический анализ",12,3,75
"178","ИС-Б11",222,3851,"Физика",14,2,75
"179","ИС-Б11",222,3851,"Физика",14,3,60
"180","ИС-Б11",222,3851,"Дискретная математика",23,2,75
"181","ИС-Б11",222,3851,"Математическая логика и теория алгоритмов",24,3,75
"182","ИС-Б11",222,3851,"Философия",26,3,95
"183","ИС-Б11",222,3851,"Информационные технологии",27,3,80
"184","ИС-Б11",222,3851,"Электротехника и электроника",28,3,77
"185","ИС-Б11",222,3851,"Объектно-ориентированное программирование",45,3,86
"186","ИС-Б11",222,3851,"Архитектура ЭВМ и систем",125,3,90
"187","ИС-Б11",222,3851,"Введение в специальность",171,2,95
"188","ИС-Б11",222,3851,"Учебная практика",339,2,95
"189","ИС-Б11",222,3851,"Программирование на языке высокого уровня",913,2,75
"190","ИС-Б11",222,3851,"История",1114,2,90
"191","ИС-Б11",222,3852,"Иностранный язык",2,2,75
"192","ИС-Б11",222,3852,"Иностранный язык",2,3,80
"193","ИС-Б11",222,3852,"Физическая культура",3,2,86
"194","ИС-Б11",222,3852,"Физическая культура",3,3,89
"195","ИС-Б11",222,3852,"Информатика",6,2,60
"196","ИС-Б11",222,3852,"Математический анализ",12,2,60
"197","ИС-Б11",222,3852,"Математический анализ",12,3,60
"198","ИС-Б11",222,3852,"Физика",14,2,60
"199","ИС-Б11",222,3852,"Физика",14,3,60
"200","ИС-Б11",222,3852,"Дискретная математика",23,2,67
"201","ИС-Б11",222,3852,"Математическая логика и теория алгоритмов",24,3,67
"202","ИС-Б11",222,3852,"Философия",26,3,84
"203","ИС-Б11",222,3852,"Информационные технологии",27,3,70
"204","ИС-Б11",222,3852,"Электротехника и электроника",28,3,67
"205","ИС-Б11",222,3852,"Объектно-ориентированное программирование",45,3,79
"206","ИС-Б11",222,3852,"Архитектура ЭВМ и систем",125,3,70
"207","ИС-Б11",222,3852,"Введение в специальность",171,2,95
"208","ИС-Б11",222,3852,"Учебная практика",339,2,95
"209","ИС-Б11",222,3852,"Программирование на языке высокого уровня",913,2,65
"210","ИС-Б11",222,3852,"История",1114,2,60
"211","ИС-Б11",222,3853,"Иностранный язык",2,2,75
"212","ИС-Б11",222,3853,"Иностранный язык",2,3,84
"213","ИС-Б11",222,3853,"Физическая культура",3,2,88
"214","ИС-Б11",222,3853,"Физическая культура",3,3,84
